Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
6/23/2025,AXSM,AXSM,S,BATS,71
6/23/2025,AXSM,AXSM,S,C2,9
6/23/2025,AXSM,AXSM,S,CBOE,30
6/23/2025,AXSM,AXSM,S,EDGX,81
6/24/2025,AXSM,AXSM,S,BATS,11
6/24/2025,AXSM,AXSM,S,C2,7
6/24/2025,AXSM,AXSM,S,CBOE,11
6/24/2025,AXSM,AXSM,S,EDGX,2
6/25/2025,AXSM,AXSM,S,BATS,4
6/25/2025,AXSM,AXSM,S,CBOE,5
6/25/2025,AXSM,AXSM,S,EDGX,4
6/26/2025,AXSM,AXSM,S,C2,18
6/26/2025,AXSM,AXSM,S,EDGX,6
6/27/2025,AXSM,AXSM,S,BATS,4
6/27/2025,AXSM,AXSM,S,C2,19
6/27/2025,AXSM,AXSM,S,CBOE,3
6/27/2025,AXSM,AXSM,S,EDGX,27
6/30/2025,AXSM,AXSM,S,BATS,25
6/30/2025,AXSM,AXSM,S,C2,2
6/30/2025,AXSM,AXSM,S,CBOE,44
6/30/2025,AXSM,AXSM,S,EDGX,9
7/1/2025,AXSM,AXSM,S,C2,1
7/1/2025,AXSM,AXSM,S,CBOE,9
7/1/2025,AXSM,AXSM,S,EDGX,10
7/2/2025,AXSM,AXSM,S,BATS,4
7/2/2025,AXSM,AXSM,S,CBOE,9
7/3/2025,AXSM,AXSM,S,BATS,1
7/3/2025,AXSM,AXSM,S,CBOE,3
7/3/2025,AXSM,AXSM,S,EDGX,9
7/7/2025,AXSM,AXSM,S,BATS,9
7/7/2025,AXSM,AXSM,S,C2,13
7/7/2025,AXSM,AXSM,S,CBOE,26
7/7/2025,AXSM,AXSM,S,EDGX,10
7/8/2025,AXSM,AXSM,S,BATS,25
7/8/2025,AXSM,AXSM,S,C2,2
7/8/2025,AXSM,AXSM,S,CBOE,19
7/8/2025,AXSM,AXSM,S,EDGX,2
7/9/2025,AXSM,AXSM,S,BATS,11
7/9/2025,AXSM,AXSM,S,C2,2
7/9/2025,AXSM,AXSM,S,CBOE,39
7/9/2025,AXSM,AXSM,S,EDGX,36
7/10/2025,AXSM,AXSM,S,BATS,15
7/10/2025,AXSM,AXSM,S,C2,17
7/10/2025,AXSM,AXSM,S,CBOE,35
7/10/2025,AXSM,AXSM,S,EDGX,12
7/11/2025,AXSM,AXSM,S,BATS,4
7/11/2025,AXSM,AXSM,S,C2,2
7/11/2025,AXSM,AXSM,S,CBOE,2
7/11/2025,AXSM,AXSM,S,EDGX,62
7/14/2025,AXSM,AXSM,S,BATS,19
7/14/2025,AXSM,AXSM,S,C2,6
7/14/2025,AXSM,AXSM,S,CBOE,61
7/14/2025,AXSM,AXSM,S,EDGX,13
7/15/2025,AXSM,AXSM,S,BATS,2
7/15/2025,AXSM,AXSM,S,C2,2
7/15/2025,AXSM,AXSM,S,CBOE,2
7/15/2025,AXSM,AXSM,S,EDGX,4
7/16/2025,AXSM,AXSM,S,BATS,1
7/16/2025,AXSM,AXSM,S,C2,25
7/16/2025,AXSM,AXSM,S,CBOE,30
7/16/2025,AXSM,AXSM,S,EDGX,89
7/17/2025,AXSM,AXSM,S,BATS,1
7/17/2025,AXSM,AXSM,S,CBOE,5
7/17/2025,AXSM,AXSM,S,EDGX,10
7/18/2025,AXSM,AXSM,S,BATS,4
